time,name,tags
00:01:19,Redox ladder,Fundamentals | Redox
00:25:05,The Carbon cycle,Fundamentals
00:28:47,The Nitrogen cycle,Fundamentals
00:31:42,Iron oxydation example in a red river,Redox
00:33:28,Chemical models and local equilibrium,Model
00:39:38,The local equilibrium concept and Gibbs phase rule,Fundamentals | Model
00:47:16,ΔG = ΔH - TΔS and ΔG = -RTlnK derivation,Fundamentals | Thermodynamics
00:49:34,Effect of temperature and pressure,Fundamentals | Thermodynamics

